BioSample_ID,SRA_accession,assembly_ID,collection_year,ISO_country_code,host,host_age,host_sex,isolate,isolation_source,isolation_source_category,isolation_latitude,isolation_longitude,genus,organism,AMR_associated_publications,Updated_phenotype_CLSI,Updated_phenotype_EUCAST,used_ECOFF,database,antibiotic_name,ast_standard,laboratory_typing_method,measurement,measurement_sign,measurement_units,platform,resistance_phenotype,species,antibiotic_ontology,antibiotic_ontology_link,country,geographical_region,geographical_subregion
SAMEA677531,ERS002798,GCA_035462815.1,1990.0,GBR,Homo sapiens,,,STO_20,Ear,eye and ear,,,Streptococcus,Streptococcus pneumoniae,,resistant,resistant,no,PATRIC,tetracycline,,broth dilution,16.0,>,mg/L,,,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe
SAMEA677573,ERS002788,GCA_035463195.1,2003.0,GBR,Homo sapiens,80.0,,H034960030,Blood,blood,,,Streptococcus,Streptococcus pneumoniae,,resistant,resistant,no,PATRIC,tetracycline,,broth dilution,8.0,>,mg/L,,,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe
SAMEA677474,ERS005191,GCA_035464395.1,2001.0,ZAF,Homo sapiens,49.0,,SA6,Blood & CSF,,,,Streptococcus,Streptococcus pneumoniae,,resistant,resistant,no,PATRIC,tetracycline,,broth dilution,8.0,=,mg/L,,,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,South Africa,Africa,Sub-Saharan Africa
SAMN33606250,SRS16970846,GCA_035856635.1,2021.0,AUS,Homo sapiens,,,AUSMDU00060046,,,,,Streptococcus,Streptococcus pneumoniae,37823632.0,resistant,resistant,no,PATRIC,tetracycline,CLSI,broth dilution,8.0,>,mg/L,Sensititre,resistant,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Australia,Oceania,Australia and New Zealand
SAMN33606063,SRS16970847,GCA_035856695.1,2021.0,AUS,Homo sapiens,,,AUSMDU00062395,,,,,Streptococcus,Streptococcus pneumoniae,37823632.0,resistant,resistant,no,PATRIC,tetracycline,CLSI,broth dilution,8.0,>,mg/L,Sensititre,resistant,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Australia,Oceania,Australia and New Zealand
SAMN33606488,SRS16970892,GCA_035857465.1,2019.0,AUS,Homo sapiens,,,AUSMDU00038005,,,,,Streptococcus,Streptococcus pneumoniae,37823632,susceptible,,,PATRIC,tetracycline,CLSI,broth dilution,1.0,<=,mg/L,Sensititre,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Australia,Oceania,Australia and New Zealand
SAMN33606209,SRS16971059,GCA_035861205.1,1922.0,AUS,Homo sapiens,,,AUSMDU00074813,,,,,Streptococcus,Streptococcus pneumoniae,37823632.0,susceptible,,,PATRIC,tetracycline,CLSI,broth dilution,1.0,<=,mg/L,Sensititre,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Australia,Oceania,Australia and New Zealand
SAMN33606070,SRS16971092,GCA_035861785.1,2021.0,AUS,Homo sapiens,,,AUSMDU00064240,,,,,Streptococcus,Streptococcus pneumoniae,37823632.0,susceptible,,,PATRIC,tetracycline,CLSI,broth dilution,1.0,<=,mg/L,Sensititre,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Australia,Oceania,Australia and New Zealand
SAMN33606328,SRS16971099,GCA_035861945.1,2021.0,AUS,Homo sapiens,,,AUSMDU00062364,,,,,Streptococcus,Streptococcus pneumoniae,37823632.0,susceptible,,,PATRIC,tetracycline,CLSI,broth dilution,1.0,<=,mg/L,Sensititre,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Australia,Oceania,Australia and New Zealand
SAMN33606445,SRS16971130,GCA_035862525.1,2019.0,AUS,Homo sapiens,,,AUSMDU00029602,,,,,Streptococcus,Streptococcus pneumoniae,37823632,susceptible,,,PATRIC,tetracycline,CLSI,broth dilution,1.0,<=,mg/L,Sensititre,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Australia,Oceania,Australia and New Zealand
SAMN33606127,SRS16970684,GCA_035863585.1,2022.0,AUS,Homo sapiens,,,AUSMDU00073364,,,,,Streptococcus,Streptococcus pneumoniae,37823632.0,resistant,resistant,no,PATRIC,tetracycline,CLSI,broth dilution,8.0,>,mg/L,Sensititre,resistant,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Australia,Oceania,Australia and New Zealand
SAMN33606137,SRS16970695,GCA_035863865.1,2022.0,AUS,Homo sapiens,,,AUSMDU00073497,,,,,Streptococcus,Streptococcus pneumoniae,37823632.0,susceptible,,,PATRIC,tetracycline,CLSI,broth dilution,1.0,<=,mg/L,Sensititre,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Australia,Oceania,Australia and New Zealand
SAMN33606136,SRS16970694,GCA_035863885.1,2022.0,AUS,Homo sapiens,,,AUSMDU00073474,,,,,Streptococcus,Streptococcus pneumoniae,37823632.0,susceptible,,,PATRIC,tetracycline,CLSI,broth dilution,1.0,<=,mg/L,Sensititre,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Australia,Oceania,Australia and New Zealand
SAMN33606062,SRS16970716,GCA_035864305.1,2021.0,AUS,Homo sapiens,,,AUSMDU00061728,,,,,Streptococcus,Streptococcus pneumoniae,37823632.0,susceptible,,,PATRIC,tetracycline,CLSI,broth dilution,1.0,<=,mg/L,Sensititre,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Australia,Oceania,Australia and New Zealand
SAMN33606349,SRS16970742,GCA_035864845.1,2021.0,AUS,Homo sapiens,,,AUSMDU00061240,,,,,Streptococcus,Streptococcus pneumoniae,37823632.0,susceptible,,,PATRIC,tetracycline,CLSI,broth dilution,1.0,<=,mg/L,Sensititre,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Australia,Oceania,Australia and New Zealand
