BioSample_ID,SRA_accession,assembly_ID,collection_year,ISO_country_code,host,host_age,host_sex,isolate,isolation_source,isolation_source_category,isolation_latitude,isolation_longitude,genus,organism,AMR_associated_publications,Updated_phenotype_CLSI,Updated_phenotype_EUCAST,used_ECOFF,database,antibiotic_name,ast_standard,laboratory_typing_method,measurement,measurement_sign,measurement_units,platform,resistance_phenotype,species,antibiotic_ontology,antibiotic_ontology_link,country,geographical_region,geographical_subregion
SAMN33607241,SRS16968929,GCA_035919505.1,2018.0,AUS,Homo sapiens,,,AUSMDU00037451,,,,,Streptococcus,Streptococcus pneumoniae,37823632,susceptible,,,PATRIC,tetracycline,CLSI,broth dilution,1.0,<=,mg/L,Sensititre,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Australia,Oceania,Australia and New Zealand
SAMN33607363,SRS16968969,GCA_035929085.1,2022.0,AUS,Homo sapiens,,,AUSMDU00068287,,,,,Streptococcus,Streptococcus pneumoniae,37823632.0,intermediate,resistant,no,PATRIC,tetracycline,CLSI,broth dilution,2.0,=,mg/L,Sensititre,intermediate,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Australia,Oceania,Australia and New Zealand
SAMN33607125,SRS16969020,GCA_035930165.1,2019.0,AUS,Homo sapiens,,,AUSMDU00030738,,,,,Streptococcus,Streptococcus pneumoniae,37823632,susceptible,,,PATRIC,tetracycline,CLSI,broth dilution,1.0,<=,mg/L,Sensititre,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Australia,Oceania,Australia and New Zealand
SAMN33607131,SRS16969026,GCA_035930405.1,2019.0,AUS,Homo sapiens,,,AUSMDU00038683,,,,,Streptococcus,Streptococcus pneumoniae,37823632,susceptible,,,PATRIC,tetracycline,CLSI,broth dilution,1.0,<=,mg/L,Sensititre,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Australia,Oceania,Australia and New Zealand
SAMN33607134,SRS16969029,GCA_035930525.1,2019.0,AUS,Homo sapiens,,,AUSMDU00031958,,,,,Streptococcus,Streptococcus pneumoniae,37823632,susceptible,,,PATRIC,tetracycline,CLSI,broth dilution,1.0,<=,mg/L,Sensititre,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Australia,Oceania,Australia and New Zealand
SAMN33607189,SRS16969058,GCA_035931085.1,2019.0,AUS,Homo sapiens,,,AUSMDU00024425,,,,,Streptococcus,Streptococcus pneumoniae,37823632,susceptible,,,PATRIC,tetracycline,CLSI,broth dilution,1.0,<=,mg/L,Sensititre,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Australia,Oceania,Australia and New Zealand
SAMN33607220,SRS16969158,GCA_035933335.1,2019.0,AUS,Homo sapiens,,,AUSMDU00039075,,,,,Streptococcus,Streptococcus pneumoniae,37823632,resistant,resistant,no,PATRIC,tetracycline,CLSI,broth dilution,8.0,>,mg/L,Sensititre,resistant,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Australia,Oceania,Australia and New Zealand
SAMN33607296,SRS16969183,GCA_035934095.1,2018.0,AUS,Homo sapiens,,,AUSMDU00022024,,,,,Streptococcus,Streptococcus pneumoniae,37823632,susceptible,,,PATRIC,tetracycline,CLSI,broth dilution,1.0,<=,mg/L,Sensititre,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Australia,Oceania,Australia and New Zealand
SAMN33607067,SRS16969197,GCA_035934585.1,2019.0,AUS,Homo sapiens,,,AUSMDU00028094,,,,,Streptococcus,Streptococcus pneumoniae,37823632,susceptible,,,PATRIC,tetracycline,CLSI,broth dilution,1.0,<=,mg/L,Sensititre,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Australia,Oceania,Australia and New Zealand
SAMN33606182,SRS16970933,GCA_035936895.1,2022.0,AUS,Homo sapiens,,,AUSMDU00074300,,,,,Streptococcus,Streptococcus pneumoniae,37823632.0,susceptible,,,PATRIC,tetracycline,CLSI,broth dilution,1.0,<=,mg/L,Sensititre,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Australia,Oceania,Australia and New Zealand
SAMN05898555,SRS1739312,GCA_036046855.1,2010.0,CAN,Homo sapiens,64.0,male,SC11-0040-P,blood,blood,,,Streptococcus,Streptococcus pneumoniae,28531208.0,susceptible,,,NCBI_antibiogram;NDARO;PATRIC,tetracycline,,broth dilution,1.0,<=,mg/L,Sensititre,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Canada,Americas,Northern America
SAMN05898551,SRS1739307,GCA_036046955.1,2010.0,CAN,Homo sapiens,65.0,female,SC10-2650-P,,blood,,,Streptococcus,Streptococcus pneumoniae,28531208.0,susceptible,,,NCBI_antibiogram;NDARO;PATRIC,tetracycline,,broth dilution,1.0,<=,mg/L,Sensititre,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Canada,Americas,Northern America
SAMN05898654,SRS1739286,GCA_036047375.1,2014.0,CAN,Homo sapiens,64.0,male,SC15-0240-P,,blood,,,Streptococcus,Streptococcus pneumoniae,28531208.0,susceptible,,,NCBI_antibiogram;NDARO;PATRIC,tetracycline,,broth dilution,1.0,<=,mg/L,Sensititre,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Canada,Americas,Northern America
SAMN05898644,SRS1739275,GCA_036047595.1,2014.0,CAN,Homo sapiens,65.0,male,SC14-2194-P,blood,blood,,,Streptococcus,Streptococcus pneumoniae,28531208.0,susceptible,,,NCBI_antibiogram;NDARO;PATRIC,tetracycline,,broth dilution,1.0,<=,mg/L,Sensititre,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Canada,Americas,Northern America
SAMN03764931,SRS967278,GCA_036196625.1,,,other (non-clinical isolate),3.0,,8,,,,,Streptococcus,Streptococcus pneumoniae,,susceptible,susceptible,no,NCBI_antibiogram;NDARO;PATRIC,tetracycline,,broth dilution,0.5,==,mg/L,Sensititre,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,,,
SAMEA2203800,ERS356304,GCA_900037005.2,2009.0,USA,Homo sapiens,,,11679_1#13,blood,blood,37.0902,-95.7129,Streptococcus,Streptococcus pneumoniae,31003929,resistant,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,8.0,==,mg/L,,resistant,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,United States of America,Americas,Northern America
SAMEA2203854,ERS356358,GCA_900038125.2,2009.0,USA,Homo sapiens,,,11679_1#28,blood,blood,37.0902,-95.7129,Streptococcus,Streptococcus pneumoniae,31003929,resistant,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,8.0,==,mg/L,,resistant,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,United States of America,Americas,Northern America
SAMEA2203912,ERS356423,GCA_900051135.2,2009.0,USA,Homo sapiens,,,11658_2#75,blood,blood,37.0902,-95.7129,Streptococcus,Streptococcus pneumoniae,31003929,resistant,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,8.0,==,mg/L,,resistant,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,United States of America,Americas,Northern America
SAMEA2467730,ERS437355,GCA_900052415.2,2009.0,USA,Homo sapiens,,,13154_3#51,blood,blood,37.0902,-95.7129,Streptococcus,Streptococcus pneumoniae,31003929,intermediate,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,2.0,==,mg/L,,intermediate,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,United States of America,Americas,Northern America
SAMEA2521634,ERS455174,GCA_900052455.2,2012.0,USA,Homo sapiens,,,13414_2#83,blood,blood,37.0902,-95.7129,Streptococcus,Streptococcus pneumoniae,31003929,resistant,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,8.0,==,mg/L,,resistant,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,United States of America,Americas,Northern America
SAMEA2203996,ERS356507,GCA_900055665.2,2009.0,USA,Homo sapiens,,,11657_4#49,blood,blood,37.0902,-95.7129,Streptococcus,Streptococcus pneumoniae,31003929,resistant,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,8.0,==,mg/L,,resistant,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,United States of America,Americas,Northern America
SAMEA2796487,ERS558098,GCA_900057395.2,2008.0,USA,Homo sapiens,,,14673_1#79,blood,blood,37.0902,-95.7129,Streptococcus,Streptococcus pneumoniae,31003929,resistant,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,8.0,==,mg/L,,resistant,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,United States of America,Americas,Northern America
SAMEA2467739,ERS437364,GCA_900059295.2,2009.0,USA,Homo sapiens,,,13154_3#60,blood,blood,37.0902,-95.7129,Streptococcus,Streptococcus pneumoniae,31003929,intermediate,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,2.0,==,mg/L,,intermediate,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,United States of America,Americas,Northern America
SAMEA2521573,ERS455113,GCA_900059335.2,2012.0,USA,Homo sapiens,,,13414_2#22,blood,blood,37.0902,-95.7129,Streptococcus,Streptococcus pneumoniae,31003929,resistant,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,8.0,==,mg/L,,resistant,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,United States of America,Americas,Northern America
SAMEA2467760,ERS437385,GCA_900060855.2,2009.0,USA,Homo sapiens,,,13154_3#81,blood,blood,37.0902,-95.7129,Streptococcus,Streptococcus pneumoniae,31003929,intermediate,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,2.0,==,mg/L,,intermediate,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,United States of America,Americas,Northern America
SAMEA2336023,ERS394217,GCA_900061195.2,2009.0,USA,Homo sapiens,,,12291_5#1,blood,blood,37.0902,-95.7129,Streptococcus,Streptococcus pneumoniae,31003929,resistant,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,8.0,==,mg/L,,resistant,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,United States of America,Americas,Northern America
SAMEA2796603,ERS558214,GCA_900065625.2,2008.0,USA,Homo sapiens,,,14673_3#5,blood,blood,37.0902,-95.7129,Streptococcus,Streptococcus pneumoniae,31003929,resistant,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,8.0,==,mg/L,,resistant,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,United States of America,Americas,Northern America
SAMEA2204049,ERS356560,GCA_901212775.1,2006.0,PER,Homo sapiens,,male,11657_8#37,csf,central nervous system,-9.18997,-75.0152,Streptococcus,Streptococcus pneumoniae,31003929,resistant,resistant,no,PATRIC;microreact,tetracycline,CLSI,disk diffusion,22.0,==,mm,,resistant,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Peru,Americas,Latin America and the Caribbean
SAMEA2335662,ERS393856,GCA_901213595.1,2011.0,PER,Homo sapiens,,female,12291_1#3,csf,central nervous system,-9.18997,-75.0152,Streptococcus,Streptococcus pneumoniae,31003929,intermediate,susceptible,no,PATRIC;microreact,tetracycline,CLSI,disk diffusion,25.0,==,mm,,intermediate,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Peru,Americas,Latin America and the Caribbean
SAMEA2335664,ERS393858,GCA_901213765.1,2011.0,PER,Homo sapiens,,female,12291_1#5,peritoneal fluid,internal organs and fluids,-9.18997,-75.0152,Streptococcus,Streptococcus pneumoniae,31003929,intermediate,susceptible,no,PATRIC;microreact,tetracycline,CLSI,disk diffusion,27.0,==,mm,,intermediate,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Peru,Americas,Latin America and the Caribbean
SAMEA2203289,ERS355793,GCA_901213825.1,2007.0,TGO,Homo sapiens,,female,11658_1#34,cerebrospinal fluid,central nervous system,8.61954,0.824782,Streptococcus,Streptococcus pneumoniae,31003929,resistant,resistant,no,PATRIC;microreact,tetracycline,CLSI,E-test,16.0,==,mg/L,,resistant,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Togo,Africa,Sub-Saharan Africa
SAMEA2335692,ERS393886,GCA_901214215.1,2007.0,PER,Homo sapiens,,,12291_1#33,np swab,respiratory tract,-9.18997,-75.0152,Streptococcus,Streptococcus pneumoniae,31003929,intermediate,susceptible,no,PATRIC;microreact,tetracycline,CLSI,disk diffusion,26.0,==,mm,,intermediate,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Peru,Americas,Latin America and the Caribbean
SAMEA2335701,ERS393895,GCA_901214475.1,2007.0,PER,Homo sapiens,,male,12291_1#42,nasopharynx,respiratory tract,-9.18997,-75.0152,Streptococcus,Streptococcus pneumoniae,31003929,resistant,resistant,no,microreact,tetracycline,CLSI,disk diffusion,17.0,==,mm,,resistant,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Peru,Americas,Latin America and the Caribbean
SAMEA2203386,ERS355890,GCA_901214595.1,1996.0,GMB,Homo sapiens,,male,11658_1#87,venous blood,blood,13.4432,-15.3101,Streptococcus,Streptococcus pneumoniae,31003929,susceptible,susceptible,no,PATRIC;microreact,tetracycline,CLSI,E-test,0.125,==,mg/L,,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Gambia,Africa,Sub-Saharan Africa
SAMEA2335705,ERS393899,GCA_901214715.1,2007.0,PER,Homo sapiens,,male,12291_1#46,np swab,respiratory tract,-9.18997,-75.0152,Streptococcus,Streptococcus pneumoniae,31003929,resistant,resistant,no,PATRIC;microreact,tetracycline,CLSI,disk diffusion,24.0,==,mm,,resistant,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Peru,Americas,Latin America and the Caribbean
SAMEA2335730,ERS393924,GCA_901215595.1,2007.0,PER,Homo sapiens,,female,12291_1#71,np swab,respiratory tract,-9.18997,-75.0152,Streptococcus,Streptococcus pneumoniae,31003929,susceptible,susceptible,no,PATRIC;microreact,tetracycline,CLSI,disk diffusion,33.0,==,mm,,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Peru,Americas,Latin America and the Caribbean
SAMEA2335734,ERS393928,GCA_901215815.1,2007.0,PER,Homo sapiens,,female,12291_1#75,np swab,respiratory tract,-9.18997,-75.0152,Streptococcus,Streptococcus pneumoniae,31003929,intermediate,susceptible,no,PATRIC;microreact,tetracycline,CLSI,disk diffusion,26.0,==,mm,,intermediate,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Peru,Americas,Latin America and the Caribbean
SAMEA2335738,ERS393932,GCA_901215915.1,2007.0,PER,Homo sapiens,,male,12291_1#79,np swab,respiratory tract,-9.18997,-75.0152,Streptococcus,Streptococcus pneumoniae,31003929,intermediate,susceptible,no,PATRIC;microreact,tetracycline,CLSI,disk diffusion,27.0,==,mm,,intermediate,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Peru,Americas,Latin America and the Caribbean
SAMEA2335846,ERS394040,GCA_901216605.1,2008.0,PER,Homo sapiens,,female,12291_3#4,np swab,respiratory tract,-9.18997,-75.0152,Streptococcus,Streptococcus pneumoniae,31003929,resistant,resistant,no,PATRIC;microreact,tetracycline,CLSI,disk diffusion,22.0,==,mm,,resistant,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Peru,Americas,Latin America and the Caribbean
SAMEA2335903,ERS394097,GCA_901218125.1,2009.0,PER,Homo sapiens,,male,12291_3#61,np swab,respiratory tract,-9.18997,-75.0152,Streptococcus,Streptococcus pneumoniae,31003929,resistant,resistant,no,PATRIC;microreact,tetracycline,CLSI,disk diffusion,24.0,==,mm,,resistant,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Peru,Americas,Latin America and the Caribbean
SAMEA2335927,ERS394121,GCA_901218995.1,2009.0,PER,Homo sapiens,,female,12291_3#85,np swab,respiratory tract,-9.18997,-75.0152,Streptococcus,Streptococcus pneumoniae,31003929,intermediate,susceptible,no,PATRIC;microreact,tetracycline,CLSI,disk diffusion,27.0,==,mm,,intermediate,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Peru,Americas,Latin America and the Caribbean
SAMEA2658369,ERS508397,GCA_901224185.1,2007.0,ZAF,Homo sapiens,,male,14555_3#42,csf,central nervous system,-30.5595,22.9375,Streptococcus,Streptococcus pneumoniae,31003929,resistant,resistant,no,PATRIC;microreact,tetracycline,CLSI,E-test,6.0,==,mg/L,,resistant,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,South Africa,Africa,Sub-Saharan Africa
SAMEA2658373,ERS508401,GCA_901224305.1,2007.0,ZAF,Homo sapiens,,female,14555_3#43,csf,central nervous system,-30.5595,22.9375,Streptococcus,Streptococcus pneumoniae,31003929,resistant,resistant,no,PATRIC;microreact,tetracycline,CLSI,E-test,16.0,==,mg/L,,resistant,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,South Africa,Africa,Sub-Saharan Africa
SAMEA3175819,ERS628767,GCA_901224355.1,2013.0,SVN,Homo sapiens,,male,15608_3#66,blood,blood,46.1512,14.9955,Streptococcus,Streptococcus pneumoniae,31003929,resistant,resistant,no,PATRIC;microreact,tetracycline,CLSI,E-test,16.0,==,mg/L,,resistant,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Slovenia,Europe,Southern Europe
SAMEA2796502,ERS558113,GCA_901224845.1,2001.0,USA,Homo sapiens,,,14673_1#94,blood,blood,37.0902,-95.7129,Streptococcus,Streptococcus pneumoniae,31003929,intermediate,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,2.0,<,mg/L,,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,United States of America,Americas,Northern America
SAMEA3353971,ERS708326,GCA_901225185.1,2014.0,ZAF,Homo sapiens,,female,17175_7#37,csf,central nervous system,-30.5595,22.9375,Streptococcus,Streptococcus pneumoniae,31003929,susceptible,susceptible,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,1.0,==,mg/L,,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,South Africa,Africa,Sub-Saharan Africa
SAMEA2796504,ERS558115,GCA_901225205.1,2000.0,USA,Homo sapiens,,,14673_2#1,blood,blood,37.0902,-95.7129,Streptococcus,Streptococcus pneumoniae,31003929,intermediate,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,2.0,<,mg/L,,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,United States of America,Americas,Northern America
SAMEA2434676,ERS428853,GCA_901225585.1,2005.0,ZAF,Homo sapiens,,female,12837_3#88,csf + blood,,-30.5595,22.9375,Streptococcus,Streptococcus pneumoniae,31003929,resistant,resistant,no,PATRIC;microreact,tetracycline,CLSI,E-test,24.0,==,mg/L,,resistant,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,South Africa,Africa,Sub-Saharan Africa
SAMEA3353980,ERS708335,GCA_901225885.1,2014.0,ZAF,Homo sapiens,,female,17175_7#41,blood,blood,-30.5595,22.9375,Streptococcus,Streptococcus pneumoniae,31003929,susceptible,susceptible,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,1.0,==,mg/L,,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,South Africa,Africa,Sub-Saharan Africa
SAMEA3353986,ERS708341,GCA_901226095.1,2014.0,ZAF,Homo sapiens,,male,17175_7#44,blood,blood,-30.5595,22.9375,Streptococcus,Streptococcus pneumoniae,31003929,susceptible,susceptible,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,1.0,==,mg/L,,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,South Africa,Africa,Sub-Saharan Africa
SAMEA2814263,ERS566631,GCA_901226145.1,2012.0,ZAF,Homo sapiens,,female,14913_7#53,blood,blood,-30.5595,22.9375,Streptococcus,Streptococcus pneumoniae,31003929,intermediate,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,2.0,==,mg/L,,intermediate,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,South Africa,Africa,Sub-Saharan Africa
SAMEA2146811,ERS322326,GCA_901226755.1,1999.0,USA,Homo sapiens,,,11822_1#24,blood,blood,37.0902,-95.7129,Streptococcus,Streptococcus pneumoniae,31003929,susceptible,susceptible,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,1.0,==,mg/L,,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,United States of America,Americas,Northern America
SAMEA2814269,ERS566637,GCA_901227335.1,2011.0,ZAF,Homo sapiens,,male,14913_7#59,blood,blood,-30.5595,22.9375,Streptococcus,Streptococcus pneumoniae,31003929,intermediate,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,2.0,==,mg/L,,intermediate,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,South Africa,Africa,Sub-Saharan Africa
SAMEA2521733,ERS455273,GCA_901227765.1,2012.0,USA,Homo sapiens,,,13710_2#50,blood,blood,37.0902,-95.7129,Streptococcus,Streptococcus pneumoniae,31003929,susceptible,susceptible,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,0.25,==,mg/L,,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,United States of America,Americas,Northern America
